문자내용,분류
안녕하세요 한진택배 최수진입니다. 부재중이라 경비실에 맡겨두었습니다. 자세히 보기: https://www.naver.com/sdse,정상
"[Web발신]
[백화점] 주문하신 상품이 결제 처리되었습니다. 취소 hxxp://bit.ly/y5pqg",스미싱
[한빛고등학교] 급식 식단표를 가정통신문으로 배부하였습니다. 앱에서 확인: https://www.naver.com/j7m6,정상
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 http://han.gl/f4pc",스미싱
[로젠택배] 고객님의 상품이 오늘 도착 예정입니다. 기사 강미경 1666-7566 앱에서 확인: https://www.naver.com/w5a6,정상
"[Web발신]
소액으로 시작하는 재테크. 원금보장 고수익 http://han.gl/55y6",스미싱
"[Web발신]
[CU편의점택배] 송장번호 오류로 배송 지연. 정보 수정 바랍니다 ㅁㅁ링크",스미싱
"[Web발신]
[새마을금고] 대출 심사 결과 안내드립니다. 결과 확인 http://han.gl/jd3s",스미싱
"신한카드 카드 이용대금 35,000원이 정상 출금되었습니다.",정상
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 http://xn--24ssy.xyz",스미싱
안녕하세요 쿠팡 박정호입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
미소안과 검진 결과가 나왔습니다. 내원하셔서 상담 받으시기 바랍니다.,정상
"하나카드 카드 이용대금 48,700원이 정상 출금되었습니다.",정상
정대현 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요.,정상
형 오늘 저녁에 집에 몇 시쯤 와? 밥 차려놓을게 자세히 보기: https://www.naver.com/fjtd,정상
"[Web발신]
[우리은행] 고객님 계좌에서 2,480,000원 이체 시도가 감지되었습니다 ㅁㅁ링크",스미싱
김민수님 내일 회의 10:45으로 변경되었습니다. 확인 부탁드립니다.,정상
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 http://vo.la/4muk",스미싱
"[Web발신]
[신한카드] 카드 발급이 완료되었습니다. 본인 신청이 아니면 http://xn--39vpk.xyz",스미싱
"[Web발신]
[현대카드] 결제 오류로 승인 실패. 카드정보 재등록 필요합니다 ㅁㅁ링크",스미싱
"[Web발신]
[건강보험공단] 종합소득세 환급금 356,000원이 미수령 상태입니다. 신청 http://vo.la/w9fg",스미싱
"[Web발신]
백신 접종 예약 변경 안내드립니다. 확인 ㅁㅁ링크",스미싱
[CJ대한통운] 상품을 문 앞에 두고 갔습니다. 확인 부탁드립니다.,정상
"[Web발신]
재택 부업 모집. 하루 2시간 고수익 보장 http://me2.kr/f7yr",스미싱
"[Web발신]
[한진택배] 배송지 미확인 상품 반송 예정입니다. 확인 http://vo.la/ryvg",스미싱
[세탁소] 맡기신 옷 세탁 완료되었습니다. 편하실 때 찾아가세요. 앱에서 확인: https://www.naver.com/8ap3,정상
"[Web발신]
[기업은행] 저금리 대환대출 최대 35,000원 한도확인 가능합니다 hxxp://bit.ly/q3gq6",스미싱
한마음병원 예약 안내: 11/02 10:45. 변경은 1666-8124로 연락 주세요.,정상
"[Web발신]
[국민은행] 고객님 신용등급 상승으로 추가한도 승인되었습니다 http://me2.kr/7gcp",스미싱
아빠 지금 통화 안돼서 문자로 보내. 이거 좀 확인해줘 hxxp://bit.ly/evcuf,스미싱
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 http://xn--g7s4q.xyz",스미싱
"[Web발신]
[국민연금공단] 정부지원금 신청 대상자로 선정되셨습니다. 신청기한 오늘까지 http://me2.kr/d2aj",스미싱
"[Web발신]
11번가 상품권 무료 증정 이벤트 당첨자로 선정되셨습니다 http://kr-sjkn.top",스미싱
"[Web발신]
앱 정기결제 128,000원 자동 갱신 예정입니다. 해지 ㅁㅁ링크",스미싱
[아파트관리사무소] 단수 안내: 4/09 21:15부터 2시간 단수 예정입니다.,정상
[알뜰폰] 데이터 사용량이 80%를 초과했습니다. 남은 기간 확인하세요.,정상
"[Web발신]
국민은행 예금 만기 안내. 자세한 내용은 영업점 또는 02-4814-4789",정상
[질병관리청] 주민세 납부 기한은 10/11까지입니다. 문의는 1588-9411 앱에서 확인: https://www.naver.com/9bhs,정상
"[Web발신]
[경찰청] 재택 근무자 지원금 신청 접수중입니다 ㅁㅁ링크",스미싱
[미용실] 예약 12/19 15:07 확인되었습니다. 늦지 않게 방문 부탁드려요.,정상
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 http://han.gl/s9vx,스미싱
장 보러 가는데 뭐 필요한 거 있어? 앱에서 확인: https://www.naver.com/mr28,정상
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 ㅁㅁ링크",스미싱
"[Web발신]
[기업은행] 비정상 로그인 감지. 계정 정지 예정입니다 ㅁㅁ링크",스미싱
"[Web발신]
[카카오뱅크] 저금리 대환대출 최대 2,480,000원 한도확인 가능합니다 ㅁㅁ링크",스미싱
엄마 나 폰 고장나서 컴퓨터로 문자해. 급하게 필요한거 있어서 ㅁㅁ링크,스미싱
"[Web발신]
[우리은행] 고객님 신용등급 상승으로 추가한도 승인되었습니다 ㅁㅁ링크",스미싱
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 070-5935-4415",스미싱
비 온대. 우산 챙겨서 나가 자세히 보기: https://www.naver.com/gr3s,정상
"[Web발신]
해외 직구 770,000원 결제 승인 안내. 취소 문의 070-5911-6905",스미싱
"[Web발신]
[농협은행] 비정상 로그인 감지. 계정 정지 예정입니다 ㅁㅁ링크",스미싱
할머니 사진 잘 받았어요. 건강 조심하세요 자세히 보기: https://www.naver.com/evmj,정상
"[Web발신]
[국민은행] 저금리 대환대출 최대 2,480,000원 한도확인 가능합니다 ㅁㅁ링크",스미싱
"[Web발신]
[쿠팡] 주문하신 상품이 결제 처리되었습니다. 취소 ㅁㅁ링크",스미싱
"[Web발신]
[현대카드] 카드 발급이 완료되었습니다. 본인 신청이 아니면 http://xn--htejq.xyz",스미싱
"[Web발신]
백신 접종 예약 변경 안내드립니다. 확인 http://7gzg.duckdns.org",스미싱
"[Web발신]
[국세청] 종합소득세 환급금 48,700원이 미수령 상태입니다. 신청 http://han.gl/mmfu",스미싱
"[Web발신]
앱 정기결제 356,000원 자동 갱신 예정입니다. 해지 ㅁㅁ링크",스미싱
"[Web발신]
백신 접종 예약 변경 안내드립니다. 확인 hxxp://bit.ly/cdv9c",스미싱
"[Web발신]
[CJ대한통운] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 http://v9pw.duckdns.org",스미싱
"[Web발신]
[이벤트] 무료 상품권 89,000원 선착순 지급중. 지금 신청 ㅁㅁ링크",스미싱
"하나카드 카드 이용대금 2,480,000원이 정상 출금되었습니다. 자세히 보기: https://www.naver.com/8y8x",정상
"[Web발신]
앱 정기결제 770,000원 자동 갱신 예정입니다. 해지 http://te9n.duckdns.org",스미싱
[부고] 삼가 고인의 명복을 빕니다. 부고장 http://han.gl/k4vn,스미싱
"[Web발신]
쿠팡 상품권 무료 증정 이벤트 당첨자로 선정되셨습니다 ㅁㅁ링크",스미싱
"[Web발신]
[현대카드] 카드 발급이 완료되었습니다. 본인 신청이 아니면 ㅁㅁ링크",스미싱
"[Web발신]
[관세청] 재택 근무자 지원금 신청 접수중입니다 ㅁㅁ링크",스미싱
G마켓 주문하신 상품이 발송되었습니다. 송장번호는 앱에서 확인하세요.,정상
[질병관리청] 예방접종 안내입니다. 가까운 보건소에서 접종 가능합니다. 문의 010-4057-9341 앱에서 확인: https://www.naver.com/fmbv,정상
"[Web발신]
[긴급] 미사용 포인트 35,000점 오늘 소멸됩니다 http://vo.la/k5d7",스미싱
"[Web발신]
[관세청] 국민연금 미환급금 조회 대상자입니다. 확인 ㅁㅁ링크",스미싱
"[Web발신]
[국민연금공단] 재택 근무자 지원금 신청 접수중입니다 http://xn--dtd2f.xyz",스미싱
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 http://han.gl/f965",스미싱
[국세청] 예방접종 안내입니다. 가까운 보건소에서 접종 가능합니다. 문의 1588-0505,정상
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 http://yrrh.duckdns.org",스미싱
"BC카드 카드 이용대금 356,000원이 정상 출금되었습니다.",정상
이번 주말에 시간 괜찮아? 얼굴 한번 보자 앱에서 확인: https://www.naver.com/z25g,정상
"[Web발신]
[CJ대한통운] 미수령 택배 1건 보관중. 오늘까지 미확인시 반송됩니다 hxxp://bit.ly/4tm7m",스미싱
[주민센터] 신청하신 서류 발급이 완료되었습니다. 방문 수령 바랍니다. 앱에서 확인: https://www.naver.com/fm37,정상
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 hxxp://bit.ly/jthem",스미싱
[LG U+] 데이터 사용량이 80%를 초과했습니다. 남은 기간 확인하세요.,정상
엄마 약 잘 챙겨 드시고 계세요. 주말에 갈게요 앱에서 확인: https://www.naver.com/wx9v,정상
"[Web발신]
해외 직구 356,000원 결제 승인 안내. 취소 문의 1666-0434",스미싱
우리정형외과 검진 결과가 나왔습니다. 내원하셔서 상담 받으시기 바랍니다.,정상
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 hxxp://bit.ly/53kgd",스미싱
어제 고마웠어. 다음에 밥 한번 사줄게 자세히 보기: https://www.naver.com/eshv,정상
삼촌 사진 잘 받았어요. 건강 조심하세요,정상
아빠 지금 통화 안돼서 문자로 보내. 이거 좀 확인해줘 http://qru6.duckdns.org,스미싱
[모바일 청첩장] 임지은 결혼합니다. 초대장 확인 ㅁㅁ링크,스미싱
"[Web발신]
[새마을금고] 저금리 대환대출 최대 12,900원 한도확인 가능합니다 ㅁㅁ링크",스미싱
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 1666-7097",스미싱
누나 오늘 저녁에 집에 몇 시쯤 와? 밥 차려놓을게,정상
"[Web발신]
[쿠팡] 송장번호 오류로 배송 지연. 정보 수정 바랍니다 ㅁㅁ링크",스미싱
[학원] 최수진 학생 오늘 결석했습니다. 확인 부탁드립니다.,정상
안녕하세요 CJ대한통운 한상철입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
안녕하세요 로젠택배 임지은입니다. 부재중이라 경비실에 맡겨두었습니다. 자세히 보기: https://www.naver.com/dsu8,정상
"[Web발신]
[롯데카드] 결제 오류로 승인 실패. 카드정보 재등록 필요합니다 ㅁㅁ링크",스미싱
"[Web발신]
[서울시청] 국민연금 미환급금 조회 대상자입니다. 확인 http://kr-k2sr.top",스미싱
"[Web발신]
[기업은행] 대출 심사 결과 안내드립니다. 결과 확인 http://han.gl/qdff",스미싱
"[Web발신]
[우리은행] 대출 심사 결과 안내드립니다. 결과 확인 ㅁㅁ링크",스미싱
"[KT] 이번 달 요금은 356,000원입니다. 자세한 내역은 고객센터 070-3440-5614",정상
[아파트관리사무소] 단수 안내: 6/28 10:45부터 2시간 단수 예정입니다.,정상
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://vo.la/eefn",스미싱
"[Web발신]
[CU편의점택배] 배송지 미확인 상품 반송 예정입니다. 확인 ㅁㅁ링크",스미싱
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 1588-0216",스미싱
"[Web발신]
온라인 쇼핑몰 리뷰 알바 모집합니다. 건당 1만원 http://xn--nxwd5.xyz",스미싱
"[Web발신]
[카카오뱅크] 고객님 계좌에서 48,700원 이체 시도가 감지되었습니다 ㅁㅁ링크",스미싱
"[Web발신]
[긴급] 미사용 포인트 89,000점 오늘 소멸됩니다 ㅁㅁ링크",스미싱
"[Web발신]
[11번가] 주문하신 상품이 결제 처리되었습니다. 취소 ㅁㅁ링크",스미싱
어제 고마웠어. 다음에 밥 한번 사줄게 자세히 보기: https://www.naver.com/ua4y,정상
[우체국택배] 상품을 문 앞에 두고 갔습니다. 확인 부탁드립니다.,정상
[롯데택배] 고객님의 상품이 오늘 도착 예정입니다. 기사 임지은 070-6956-7902,정상
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 ㅁㅁ링크",스미싱
형 약 잘 챙겨 드시고 계세요. 주말에 갈게요,정상
[헬스장] 회원권이 5/17에 만료됩니다. 데스크로 문의 주세요.,정상
[롯데택배] 고객님의 상품이 오늘 도착 예정입니다. 기사 김민수 1666-5073,정상
"[Web발신]
소액으로 시작하는 재테크. 원금보장 고수익 ㅁㅁ링크",스미싱
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 hxxp://bit.ly/dy5ha,스미싱
안녕하세요 우체국택배 조은주입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
"[Web발신]
앱 정기결제 128,000원 자동 갱신 예정입니다. 해지 http://susa.duckdns.org",스미싱
[국제우편] 통관보류 물품 안내드립니다. 미확인시 폐기 처리 http://wd7r.duckdns.org,스미싱
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 http://me2.kr/u84f",스미싱
"[SKT] 이번 달 요금은 1,250,000원입니다. 자세한 내역은 고객센터 010-9915-3798 앱에서 확인: https://www.naver.com/62np",정상
[행정안전부] 주민세 납부 기한은 5/17까지입니다. 문의는 070-7387-3937,정상
"[Web발신]
새마을금고 예금 만기 안내. 자세한 내용은 영업점 또는 1666-0062",정상
"[Web발신]
앱 정기결제 1,250,000원 자동 갱신 예정입니다. 해지 http://gyu8.duckdns.org",스미싱
"[Web발신]
[한진택배] 송장번호 오류로 배송 지연. 정보 수정 바랍니다 http://zczg.duckdns.org",스미싱
"[SKT] 이번 달 요금은 89,000원입니다. 자세한 내역은 고객센터 010-2406-9007",정상
어제 고마웠어. 다음에 밥 한번 사줄게 앱에서 확인: https://www.naver.com/m22q,정상
안녕하세요 롯데택배 한상철입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
"[Web발신]
[기업은행] 저금리 대환대출 최대 770,000원 한도확인 가능합니다 ㅁㅁ링크",스미싱
"[Web발신]
농협은행 입금 356,000원
잔액 128,000원
11/02 15:07",정상
"[Web발신]
백신 접종 예약 변경 안내드립니다. 확인 hxxp://bit.ly/gbpx6",스미싱
"[Web발신]
해외 직구 12,900원 결제 승인 안내. 취소 문의 070-1626-4199",스미싱
서울내과의원입니다. 내일 15:07 예약 확인 전화드렸는데 부재중이셨습니다. 010-6425-4785,정상
안녕하세요 우체국택배 임지은입니다. 부재중이라 경비실에 맡겨두었습니다. 자세히 보기: https://www.naver.com/trem,정상
"[Web발신]
[행정안전부] 소상공인 재난지원금 지급 대상 안내 http://kr-6mbv.top",스미싱
"[Web발신]
기업은행 예금 만기 안내. 자세한 내용은 영업점 또는 070-5512-1420 앱에서 확인: https://www.naver.com/scfq",정상
장 보러 가는데 뭐 필요한 거 있어? 앱에서 확인: https://www.naver.com/qzb9,정상
"[Web발신]
[11번가] 128,000원 결제가 완료되었습니다. 본인 아니면 1588-4924",스미싱
"[Web발신]
온라인 쇼핑몰 리뷰 알바 모집합니다. 건당 1만원 http://han.gl/jnta",스미싱
"[Web발신]
[경찰청] 종합소득세 환급금 770,000원이 미수령 상태입니다. 신청 http://kr-q88p.top",스미싱
"[Web발신]
[긴급] 미사용 포인트 770,000점 오늘 소멸됩니다 http://han.gl/7adg",스미싱
엄마 나 폰 고장나서 컴퓨터로 문자해. 급하게 필요한거 있어서 http://vo.la/sd5y,스미싱
[11번가] 주문번호 확인 결과 정상 배송 중입니다. 문의 010-7531-5884,정상
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 http://kr-ay3z.top",스미싱
"[Web발신]
타지역에서 로그인 시도가 감지되었습니다. 본인확인 ㅁㅁ링크",스미싱
"[Web발신]
카카오뱅크 예금 만기 안내. 자세한 내용은 영업점 또는 010-9659-5996",정상
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 http://kr-s9ca.top",스미싱
"[Web발신]
앱 업데이트공개 필요. 미업데이트시 서비스 중단됩니다 ㅁㅁ링크",스미싱
"[Web발신]
[국세청] 건강검진 미수검자 안내. 대상자 조회 ㅁㅁ링크",스미싱
"[Web발신]
고객님 계좌가 보이스피싱 피해 계좌로 신고되었습니다 1666-3966",스미싱
[미용실] 예약 4/09 10:45 확인되었습니다. 늦지 않게 방문 부탁드려요.,정상
아빠 사진 잘 받았어요. 건강 조심하세요,정상
"[Web발신]
축하합니다! 신세계몰 경품 이벤트에 당첨되셨습니다 http://kymd.duckdns.org",스미싱
"[Web발신]
축하합니다! 롯데마트 경품 이벤트에 당첨되셨습니다 ㅁㅁ링크",스미싱
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://6628.duckdns.org",스미싱
언니 사진 잘 받았어요. 건강 조심하세요,정상
[서울시청] 주민세 납부 기한은 8/14까지입니다. 문의는 1666-2534 자세히 보기: https://www.naver.com/xba3,정상
"[Web발신]
[롯데마트] 주문하신 상품이 결제 처리되었습니다. 취소 http://kr-kn8f.top",스미싱
[햇살초등학교] 내일은 단축수업입니다. 하교 시간 확인 부탁드립니다.,정상
김민수 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요.,정상
[아파트관리사무소] 정기 소방점검이 1/12에 있습니다. 협조 부탁드립니다.,정상
"[Web발신]
국민은행 출금 128,000원
7/05 09:12 자동이체",정상
"[Web발신]
무료 운세 이벤트 참여하고 상품 받아가세요 http://dvrj.duckdns.org",스미싱
우리정형외과입니다. 내일 17:33 예약 확인 전화드렸는데 부재중이셨습니다. 1588-5152,정상
"[Web발신]
[보안경고] 개인정보 유출이 확인되었습니다. 즉시 조치 http://ed8e.duckdns.org",스미싱
"[Web발신]
[질병관리청] 종합소득세 환급금 2,480,000원이 미수령 상태입니다. 신청 http://han.gl/vqg6",스미싱
"[Web발신]
[카카오뱅크] 고객님 계좌에서 770,000원 이체 시도가 감지되었습니다 http://me2.kr/macn",스미싱
최수진아 생일 축하해! 좋은 하루 보내 앱에서 확인: https://www.naver.com/yz5v,정상
한상철아 생일 축하해! 좋은 하루 보내,정상
"[Web발신]
고객님 포인트 소멸 예정입니다. 무료 전환 신청 ㅁㅁ링크",스미싱
"[Web발신]
[한진택배] 주소불일치로 물품 배송이 보류되었습니다. 주소 확인 hxxp://bit.ly/gwgpj",스미싱
"[Web발신]
해외 직구 770,000원 결제 승인 안내. 취소 문의 02-4932-3810",스미싱
[헬스장] 회원권이 9/23에 만료됩니다. 데스크로 문의 주세요.,정상
"[Web발신]
현대카드 10/11 청구금액 89,000원 안내드립니다. 문의 1588-8425",정상
"[Web발신]
[11번가] 2,480,000원 결제가 완료되었습니다. 본인 아니면 070-2110-9194",스미싱
"[Web발신]
[국민은행] 비정상 로그인 감지. 계정 정지 예정입니다 ㅁㅁ링크",스미싱
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 hxxp://bit.ly/hv67g",스미싱
"[SKT] 이번 달 요금은 770,000원입니다. 자세한 내역은 고객센터 02-0173-9028",정상
"[Web발신]
무료 운세 이벤트 참여하고 상품 받아가세요 http://xn--vp5c8.xyz",스미싱
"[Web발신]
무료 운세 이벤트 참여하고 상품 받아가세요 http://vo.la/e2wc",스미싱
윤성호 대리님 요청하신 자료 메일로 보냈습니다. 확인 부탁드려요.,정상
[모바일 청첩장] 강미경 결혼합니다. 초대장 확인 http://me2.kr/9u27,스미싱
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 hxxp://bit.ly/hq9x6",스미싱
"[Web발신]
기업은행 출금 770,000원
8/14 19:48 자동이체",정상
"[Web발신]
[신한은행] 고객님 계좌에서 48,700원 이체 시도가 감지되었습니다 http://kr-ezbe.top",스미싱
"[Web발신]
계정 도용 의심으로 이용이 제한되었습니다. 해제 http://han.gl/th9s",스미싱
엄마 나 폰 고장나서 컴퓨터로 문자해. 급하게 필요한거 있어서 http://me2.kr/ybwq,스미싱
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 http://vo.la/3p5s",스미싱
[쿠팡] 상품을 문 앞에 두고 갔습니다. 확인 부탁드립니다. 자세히 보기: https://www.naver.com/x4wx,정상
"[Web발신]
신한은행 입금 35,000원
잔액 2,480,000원
3/21 21:15",정상
[SKT] 요금이 정상 납부되었습니다. 이용해 주셔서 감사합니다.,정상
[쿠팡] 주문번호 확인 결과 정상 배송 중입니다. 문의 1666-6078,정상
[주민센터] 신청하신 서류 발급이 완료되었습니다. 방문 수령 바랍니다. 자세히 보기: https://www.naver.com/r8w2,정상
"[Web발신]
[로젠택배] 송장번호 오류로 배송 지연. 정보 수정 바랍니다 http://xn--wzdnc.xyz",스미싱
[부고] 삼가 고인의 명복을 빕니다. 부고장 http://kr-m973.top,스미싱
"BC카드 카드 이용대금 1,250,000원이 정상 출금되었습니다.",정상
할머니 약 잘 챙겨 드시고 계세요. 주말에 갈게요,정상
[푸른어린이집] 급식 식단표를 가정통신문으로 배부하였습니다. 앱에서 확인: https://www.naver.com/f7dt,정상
형 약 잘 챙겨 드시고 계세요. 주말에 갈게요 자세히 보기: https://www.naver.com/3utr,정상
어제 고마웠어. 다음에 밥 한번 사줄게 앱에서 확인: https://www.naver.com/f3vr,정상
"[Web발신]
[국민연금공단] 미납 과태료 128,000원 최종 안내. 미납시 재산압류 http://vo.la/djcj",스미싱
"[Web발신]
[새마을금고] 고객님 신용등급 상승으로 추가한도 승인되었습니다 ㅁㅁ링크",스미싱
"[Web발신]
하나은행 입금 2,480,000원
잔액 2,480,000원
4/09 15:07 자세히 보기: https://www.naver.com/ctrf",정상
"[Web발신]
[국민은행] 비정상 로그인 감지. 계정 정지 예정입니다 http://han.gl/myts",스미싱
[모바일 청첩장] 윤성호 결혼합니다. 초대장 확인 hxxp://bit.ly/rfshr,스미싱
미소안과 예약 안내: 3/21 10:45. 변경은 02-2305-7962로 연락 주세요.,정상
[모바일 청첩장] 이영희 결혼합니다. 초대장 확인 ㅁㅁ링크,스미싱
"[Web발신]
해외 직구 89,000원 결제 승인 안내. 취소 문의 02-8500-7737",스미싱
[국민연금공단] 예방접종 안내입니다. 가까운 보건소에서 접종 가능합니다. 문의 010-3518-5985 자세히 보기: https://www.naver.com/wpv6,정상
[CJ대한통운] 고객님의 상품이 오늘 도착 예정입니다. 기사 박정호 02-3103-6498,정상
"[Web발신]
앱 업데이트공개 필요. 미업데이트시 서비스 중단됩니다 http://vo.la/c8yg",스미싱
"[Web발신]
[국세청] 국민연금 미환급금 조회 대상자입니다. 확인 ㅁㅁ링크",스미싱
"[Web발신]
고객님 계좌가 보이스피싱 피해 계좌로 신고되었습니다 1588-0495",스미싱
연세이비인후과 예약 안내: 7/05 13:20. 변경은 1666-0789로 연락 주세요.,정상
행복치과 예약 안내: 12/19 19:48. 변경은 02-0303-6698로 연락 주세요.,정상
"[Web발신]
[이벤트] 무료 상품권 128,000원 선착순 지급중. 지금 신청 hxxp://bit.ly/m9tr5",스미싱
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 hxxp://bit.ly/29cx2,스미싱
"[Web발신]
BC카드 6/28 청구금액 356,000원 안내드립니다. 문의 010-9021-9628 자세히 보기: https://www.naver.com/3gjm",정상
연세이비인후과입니다. 내일 19:48 예약 확인 전화드렸는데 부재중이셨습니다. 010-5751-9347,정상
"[Web발신]
하나은행 출금 128,000원
5/17 09:12 자동이체",정상
[롯데마트] 주문번호 확인 결과 정상 배송 중입니다. 문의 070-0813-7378,정상
안녕하세요 롯데택배 조은주입니다. 부재중이라 경비실에 맡겨두었습니다. 앱에서 확인: https://www.naver.com/86mp,정상
[세탁소] 맡기신 옷 세탁 완료되었습니다. 편하실 때 찾아가세요. 자세히 보기: https://www.naver.com/7h7w,정상
[우체국택배] 고객님의 상품이 오늘 도착 예정입니다. 기사 김민수 1588-3364,정상
"[Web발신]
고객님 계좌가 보이스피싱 피해 계좌로 신고되었습니다 1666-8839",스미싱
[한빛고등학교] 급식 식단표를 가정통신문으로 배부하였습니다.,정상
[한빛고등학교] 내일은 단축수업입니다. 하교 시간 확인 부탁드립니다. 자세히 보기: https://www.naver.com/yc4j,정상
"[알뜰폰] 이번 달 요금은 35,000원입니다. 자세한 내역은 고객센터 070-8280-4019",정상
"[Web발신]
[하나은행] 고객님 신용등급 상승으로 추가한도 승인되었습니다 http://han.gl/9hr7",스미싱
"[Web발신]
[이벤트] 무료 상품권 35,000원 선착순 지급중. 지금 신청 http://js5n.duckdns.org",스미싱
"[Web발신]
고객님 앞으로 도착한 종물물품 1건이 있습니다. 조회 hxxp://bit.ly/aqkq4",스미싱
"[Web발신]
[경찰청] 미납 과태료 770,000원 최종 안내. 미납시 재산압류 hxxp://bit.ly/y9b67",스미싱
"[Web발신]
[법원] 전자소송 출석요구서가 송달되었습니다. 열람 http://han.gl/6zxy",스미싱
"[Web발신]
축하합니다! 신세계몰 경품 이벤트에 당첨되셨습니다 ㅁㅁ링크",스미싱
"[Web발신]
[서울시청] 소상공인 재난지원금 지급 대상 안내 hxxp://bit.ly/curmq",스미싱
"[Web발신]
[검찰청] 귀하의 명의로 계좌가 개설되어 수사중입니다. 확인 http://han.gl/m7z5",스미싱
"[Web발신]
신한은행 체크카드 승인 89,000원 11번가 17:33",정상
"[Web발신]
[기업은행] 고객님 신용등급 상승으로 추가한도 승인되었습니다 ㅁㅁ링크",스미싱
[아파트관리사무소] 단수 안내: 12/19 10:45부터 2시간 단수 예정입니다.,정상
[세탁소] 맡기신 옷 세탁 완료되었습니다. 편하실 때 찾아가세요. 앱에서 확인: https://www.naver.com/vetf,정상
"[Web발신]
농협은행 예금 만기 안내. 자세한 내용은 영업점 또는 1666-7668",정상
"[Web발신]
[우리은행] 고객님 계좌에서 770,000원 이체 시도가 감지되었습니다 http://phs5.duckdns.org",스미싱
"[SKT] 이번 달 요금은 12,900원입니다. 자세한 내역은 고객센터 02-0384-5036 앱에서 확인: https://www.naver.com/tu2d",정상
"[Web발신]
[서울시청] 종합소득세 환급금 89,000원이 미수령 상태입니다. 신청 http://vo.la/hkd6",스미싱
"[Web발신]
백신 접종 예약 변경 안내드립니다. 확인 http://366n.duckdns.org",스미싱
동생 오늘 저녁에 집에 몇 시쯤 와? 밥 차려놓을게 앱에서 확인: https://www.naver.com/99mg,정상
"[Web발신]
[기업은행] 저금리 대환대출 최대 35,000원 한도확인 가능합니다 ㅁㅁ링크",스미싱
[미용실] 예약 7/05 22:40 확인되었습니다. 늦지 않게 방문 부탁드려요.,정상
[모바일 초대장] 우리 아이 돌잔치에 초대합니다 http://kr-qpv7.top,스미싱
이모 약 잘 챙겨 드시고 계세요. 주말에 갈게요,정상
미소안과 예약 안내: 1/12 10:45. 변경은 1588-9933로 연락 주세요.,정상
안녕하세요 로젠택배 임지은입니다. 부재중이라 경비실에 맡겨두었습니다.,정상
미소안과입니다. 내일 17:33 예약 확인 전화드렸는데 부재중이셨습니다. 070-6645-2686,정상
조은주님 내일 회의 15:07으로 변경되었습니다. 확인 부탁드립니다.,정상
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 1588-5456",스미싱
"[Web발신]
[새마을금고] 대출 심사 결과 안내드립니다. 결과 확인 ㅁㅁ링크",스미싱
"[Web발신]
[알림] 미납 통신요금 356,000원 정지 예정 안내 http://kr-d6yf.top",스미싱
"[Web발신]
단기 알바 급하게 구합니다. 일당 20만원 지급 010-3961-3605",스미싱
"[Web발신]
[백화점] 89,000원 결제가 완료되었습니다. 본인 아니면 02-2815-9548",스미싱
"[Web발신]
기업은행 출금 12,900원
2/03 22:40 자동이체",정상
[아파트관리사무소] 정기 소방점검이 11/02에 있습니다. 협조 부탁드립니다. 자세히 보기: https://www.naver.com/78v6,정상
[주민센터] 신청하신 서류 발급이 완료되었습니다. 방문 수령 바랍니다. 자세히 보기: https://www.naver.com/3ptf,정상
